Monday-Friday,FR,DE,IT,PL,ES,UK,IND,CUS
,2.505446623,2.759622367,2.723311547,2.541757444,2.432824982,2.432824982,0,2.759622367
,2.505446623,2.759622367,2.723311547,2.541757444,2.432824982,2.432824982,0,2.759622367
,2.505446623,2.759622367,2.723311547,2.541757444,2.432824982,2.432824982,0,2.759622367
,2.505446623,2.759622367,2.723311547,2.541757444,2.432824982,2.432824982,0,2.759622367
,2.505446623,2.759622367,2.723311547,2.541757444,2.432824982,2.432824982,0,2.759622367
,2.505446623,2.759622367,2.723311547,2.541757444,2.432824982,2.432824982,0,2.759622367
,2.505446623,2.759622367,2.723311547,2.541757444,2.432824982,2.432824982,0,2.759622367
,2.505446623,2.759622367,2.723311547,2.541757444,2.432824982,2.432824982,9.6,2.759622367
,2.505446623,2.759622367,2.723311547,2.541757444,2.432824982,2.432824982,9.6,2.759622367
,5.22875817,4.684095861,5.773420479,5.664488017,4.901960784,6.318082789,9.6,4.684095861
,5.22875817,4.684095861,5.773420479,5.664488017,4.901960784,6.318082789,4,4.684095861
,5.22875817,4.684095861,5.773420479,5.664488017,4.901960784,6.318082789,9.6,4.684095861
,7.189542484,7.908496732,6.797385621,7.516339869,7.843137255,7.189542484,9.6,7.908496732
,7.189542484,7.908496732,6.797385621,7.516339869,7.843137255,7.189542484,9.6,7.908496732
,7.189542484,7.908496732,6.797385621,7.516339869,7.843137255,7.189542484,9.6,7.908496732
,7.189542484,7.908496732,6.797385621,7.516339869,7.843137255,7.189542484,9.6,7.908496732
,7.189542484,7.908496732,6.797385621,7.516339869,7.843137255,7.189542484,9.6,7.908496732
,8.823529412,6.699346405,7.026143791,5.718954248,5.882352941,7.516339869,9.6,6.699346405
,8.823529412,6.699346405,7.026143791,5.718954248,5.882352941,7.516339869,0,6.699346405
,1.633986928,1.633986928,2.026143791,2.222222222,2.483660131,1.633986928,0,1.633986928
,1.633986928,1.633986928,2.026143791,2.222222222,2.483660131,1.633986928,0,1.633986928
,1.633986928,1.633986928,2.026143791,2.222222222,2.483660131,1.633986928,0,1.633986928
,1.633986928,1.633986928,2.026143791,2.222222222,2.483660131,1.633986928,0,1.633986928
,1.633986928,1.633986928,2.026143791,2.222222222,2.483660131,1.633986928,0,1.633986928
